Mean Intensity,Duration,Label
1.39,4,0
0.11,2,0
1.63375,8,0
3.34,6,0
0.26,1,0
2.11,2,0
0.69,1,0
0.06,1,0
4.381818182,11,0
0.246666667,3,0
4.971818182,11,0
0.81,1,0
5.017142857,14,0
0.195,2,0
0.655,2,0
0.586666667,3,0
0.654,5,0
3.122,10,0
1.459,10,0
0.703333333,3,0
3.422777778,72,0
1.06,1,0
2.026428571,14,0
0.145,2,0
0.8925,4,0
0.415,2,0
0.22,3,0
2.75,4,0
1.983333333,3,0
1.52,1,0
0.306666667,3,0
1.0375,4,0
1.2825,4,0
5.374324324,37,0
0.52,3,0
1.17,12,0
0.526666667,3,0
0.504,5,0
1.291428571,7,0
0.996666667,3,0
0.691538462,13,0
3.447857143,14,0
0.566,5,0
0.18,1,0
2.33,1,0
1.701428571,7,0
0.31,2,0
1.23,1,0
